lh.aparc.thickness	lh_bankssts_thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_frontalpole_thickness	lh_temporalpole_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-3_ses-11_T1w	2.513	2.863	2.565	1.784	3.39	2.852	2.315	2.848	2.673	2.12	2.643	2.178	2.43	2.782	2.618	2.476	2.552	2.77	2.456	1.647	2.025	2.648	2.635	2.282	2.933	2.412	2.645	2.162	2.956	2.411	3.088	3.386	2.571	2.991	2.48882	1143816.0	1556615.66054
sub-3_ses-12_T1w	2.575	2.792	2.597	1.718	3.098	2.779	2.358	2.836	2.552	2.047	2.692	2.1	2.297	2.752	2.618	2.433	2.723	2.681	2.614	1.623	2.105	2.516	2.733	2.337	2.801	2.431	2.702	2.224	2.898	2.475	2.874	3.129	2.543	3.019	2.49397	1147335.0	1557155.262507
sub-3_ses-13_T1w	2.57	2.785	2.586	1.562	3.395	2.872	2.424	2.899	2.51	2.124	2.715	2.126	2.392	2.835	2.616	2.371	2.617	2.647	2.533	1.521	2.143	2.593	2.709	2.306	2.727	2.41	2.678	2.222	2.929	2.481	2.837	3.413	2.531	2.932	2.50486	1155226.0	1552505.754145
sub-3_ses-14_T1w	2.484	2.692	2.575	1.635	3.219	2.763	2.311	2.743	2.476	2.056	2.558	2.058	2.325	2.772	2.542	2.45	2.593	2.682	2.501	1.515	2.095	2.514	2.721	2.282	2.682	2.393	2.656	2.198	2.893	2.481	2.83	3.254	2.544	2.921	2.45998	1148386.0	1559657.916874
sub-3_ses-15_T1w	2.534	2.766	2.61	1.734	3.404	2.857	2.354	2.791	2.541	2.109	2.737	2.149	2.42	2.796	2.58	2.578	2.663	2.676	2.591	1.654	2.167	2.467	2.767	2.405	2.831	2.449	2.678	2.235	2.914	2.465	2.88	3.476	2.642	3.081	2.51945	1145403.0	1557874.917975
sub-3_ses-16_T1w	2.459	2.844	2.657	1.767	3.242	2.802	2.369	2.83	2.54	2.098	2.713	2.119	2.397	2.789	2.557	2.465	2.647	2.767	2.564	1.603	2.125	2.56	2.744	2.347	2.832	2.394	2.684	2.212	2.921	2.457	2.853	3.539	2.574	3.001	2.50753	1146480.0	1557581.512763
sub-3_ses-17_T1w	2.44	2.757	2.64	1.733	3.149	2.825	2.297	2.778	2.374	2.108	2.707	2.105	2.291	2.721	2.612	2.517	2.649	2.732	2.565	1.718	2.072	2.468	2.697	2.31	2.859	2.428	2.651	2.21	2.871	2.442	3.087	3.295	2.468	2.899	2.47928	1150153.0	1566287.287992
sub-3_ses-18_T1w	2.491	2.69	2.554	1.664	2.718	2.79	2.346	2.766	2.517	2.003	2.553	2.135	2.321	2.722	2.635	2.428	2.643	2.632	2.517	1.597	2.093	2.476	2.669	2.365	2.857	2.409	2.664	2.187	2.762	2.443	2.963	2.718	2.625	2.985	2.45445	1150172.0	1559468.599437
sub-3_ses-19_T1w	2.335	2.689	2.521	1.724	3.374	2.781	2.259	2.762	2.426	2.001	2.582	2.109	2.316	2.673	2.594	2.432	2.567	2.613	2.434	1.742	2.087	2.537	2.672	2.28	2.755	2.387	2.62	2.195	2.839	2.426	2.87	3.439	2.565	2.948	2.44674	1137924.0	1561238.395628
sub-3_ses-20_T1w	2.554	2.851	2.671	1.766	3.344	2.921	2.409	2.888	2.575	2.128	2.684	2.164	2.46	2.813	2.604	2.481	2.65	2.691	2.541	1.65	2.121	2.601	2.775	2.385	2.964	2.428	2.704	2.249	3.003	2.539	2.94	3.681	2.514	2.944	2.53905	1145430.0	1558023.593065
sub-3_ses-21_T1w	2.639	2.804	2.521	1.707	3.122	2.847	2.437	2.851	2.477	2.085	2.633	2.118	2.482	2.85	2.618	2.389	2.651	2.739	2.494	1.676	2.052	2.557	2.654	2.312	2.868	2.404	2.636	2.184	2.962	2.53	2.983	3.551	2.494	2.912	2.49587	1150130.0	1555962.498274
sub-3_ses-22_T1w	2.574	2.801	2.531	1.656	3.114	2.883	2.414	2.887	2.501	2.08	2.644	2.155	2.349	2.823	2.67	2.435	2.433	2.657	2.469	1.636	1.989	2.558	2.549	2.316	2.778	2.385	2.605	2.104	2.919	2.398	2.986	3.466	2.285	3.05	2.46341	1143960.0	1553961.373657
sub-3_ses-23_T1w	2.542	2.699	2.548	1.687	3.298	2.807	2.404	2.878	2.419	2.071	2.642	2.074	2.315	2.769	2.617	2.436	2.608	2.728	2.476	1.628	2.089	2.574	2.66	2.316	2.714	2.355	2.621	2.192	2.897	2.527	2.823	3.55	2.399	2.972	2.47706	1145418.0	1548673.25921
sub-3_ses-24_T1w	2.51	2.855	2.63	1.809	3.123	2.882	2.365	2.791	2.549	2.087	2.415	2.185	2.36	2.763	2.601	2.611	2.633	2.705	2.517	1.741	2.144	2.585	2.792	2.375	2.942	2.43	2.744	2.252	2.899	2.524	3.131	3.131	2.604	2.936	2.51966	1138196.0	1549056.699551
sub-3_ses-25_T1w	2.403	2.813	2.56	1.815	3.174	2.796	2.336	2.775	2.488	2.097	2.59	2.14	2.32	2.711	2.502	2.485	2.57	2.707	2.507	1.693	2.07	2.469	2.696	2.297	2.756	2.36	2.633	2.217	2.873	2.46	2.971	2.92	2.524	2.998	2.47085	1132580.0	1558454.777582
