lh.aparc.DKTatlas.thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-3_ses-16_T1w	2.812	2.649	1.834	3.199	2.791	2.394	2.871	2.571	2.088	2.713	2.104	2.419	2.684	2.548	2.501	2.667	2.724	2.467	1.612	2.148	2.565	2.751	2.351	2.717	2.447	2.611	2.226	2.92	2.457	2.563	3.069	2.50753	1146480.0	1557581.512763
sub-3_ses-17_T1w	2.74	2.635	1.79	3.11	2.782	2.325	2.857	2.416	2.103	2.716	2.086	2.322	2.618	2.582	2.529	2.668	2.633	2.496	1.728	2.095	2.446	2.708	2.318	2.733	2.472	2.593	2.224	2.859	2.449	2.46	2.963	2.47928	1150153.0	1566287.287992
sub-3_ses-18_T1w	2.712	2.546	1.741	2.695	2.756	2.369	2.826	2.538	1.993	2.555	2.116	2.347	2.627	2.617	2.465	2.666	2.534	2.438	1.592	2.111	2.497	2.674	2.364	2.677	2.466	2.608	2.223	2.732	2.447	2.622	3.057	2.45445	1150172.0	1559468.599437
sub-3_ses-19_T1w	2.702	2.515	1.776	3.368	2.778	2.294	2.794	2.437	1.987	2.6	2.1	2.324	2.565	2.589	2.471	2.583	2.574	2.347	1.752	2.11	2.524	2.677	2.296	2.652	2.43	2.558	2.211	2.844	2.423	2.553	2.998	2.44674	1137924.0	1561238.395628
sub-3_ses-20_T1w	2.837	2.666	1.844	3.335	2.898	2.422	2.949	2.597	2.12	2.691	2.155	2.523	2.711	2.596	2.527	2.665	2.63	2.449	1.654	2.142	2.596	2.782	2.387	2.802	2.477	2.631	2.271	3.016	2.55	2.5	2.971	2.53905	1145430.0	1558023.593065
sub-3_ses-21_T1w	2.819	2.522	1.777	3.076	2.834	2.447	2.925	2.499	2.079	2.626	2.098	2.525	2.742	2.62	2.424	2.671	2.642	2.413	1.689	2.073	2.545	2.662	2.311	2.775	2.457	2.571	2.212	2.979	2.526	2.476	2.973	2.49587	1150130.0	1555962.498274
sub-3_ses-22_T1w	2.767	2.528	1.738	3.1	2.848	2.438	2.95	2.529	2.055	2.703	2.138	2.399	2.726	2.664	2.446	2.463	2.563	2.385	1.645	2.013	2.554	2.548	2.313	2.675	2.413	2.546	2.125	2.937	2.383	2.289	3.107	2.46341	1143960.0	1553961.373657
sub-3_ses-23_T1w	2.719	2.54	1.752	3.308	2.794	2.41	2.912	2.425	2.056	2.647	2.062	2.367	2.702	2.607	2.466	2.636	2.623	2.384	1.637	2.116	2.585	2.668	2.323	2.63	2.411	2.542	2.23	2.921	2.521	2.391	3.038	2.47706	1145418.0	1548673.25921
sub-3_ses-24_T1w	2.871	2.619	1.86	3.217	2.844	2.393	2.86	2.574	2.077	2.451	2.17	2.376	2.661	2.579	2.63	2.657	2.624	2.425	1.754	2.166	2.585	2.798	2.376	2.758	2.474	2.68	2.282	2.871	2.526	2.599	3.045	2.51966	1138196.0	1549056.699551
sub-3_ses-25_T1w	2.752	2.556	1.843	3.141	2.752	2.356	2.845	2.507	2.087	2.623	2.128	2.338	2.619	2.494	2.511	2.603	2.62	2.406	1.697	2.093	2.479	2.697	2.307	2.653	2.381	2.586	2.244	2.83	2.467	2.516	3.068	2.47085	1132580.0	1558454.777582
