lh.aparc.DKTatlas.thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-3_ses-11_T1w.long.sub-3_base	2.841	2.554	1.843	3.339	2.818	2.41	2.855	2.621	2.008	2.618	2.173	2.427	2.686	2.65	2.588	2.621	2.61	2.427	1.678	2.139	2.676	2.74	2.36	2.704	2.462	2.594	2.251	2.985	2.484	2.725	2.943	2.50625	1149288.0	1555417.948757
sub-3_ses-12_T1w.long.sub-3_base	2.826	2.64	1.881	3.186	2.797	2.457	2.884	2.55	2.048	2.627	2.168	2.461	2.711	2.646	2.621	2.8	2.749	2.534	1.712	2.243	2.609	2.838	2.41	2.707	2.521	2.655	2.342	2.97	2.592	2.623	3.053	2.55328	1147242.0	1555417.948757
sub-3_ses-13_T1w.long.sub-3_base	2.838	2.596	1.842	3.434	2.847	2.501	2.922	2.565	2.106	2.617	2.17	2.491	2.736	2.688	2.615	2.707	2.688	2.499	1.665	2.262	2.648	2.845	2.422	2.692	2.525	2.658	2.361	2.971	2.589	2.747	2.988	2.56413	1154074.0	1555417.948757
sub-3_ses-14_T1w.long.sub-3_base	2.779	2.635	1.804	3.341	2.783	2.418	2.878	2.516	2.067	2.622	2.164	2.498	2.654	2.57	2.506	2.69	2.633	2.424	1.68	2.218	2.563	2.767	2.382	2.722	2.465	2.657	2.308	2.913	2.53	2.741	3.064	2.52227	1145656.0	1555417.948757
sub-3_ses-15_T1w.long.sub-3_base	2.784	2.603	1.846	3.262	2.798	2.41	2.856	2.577	2.074	2.661	2.166	2.442	2.646	2.599	2.568	2.679	2.646	2.445	1.747	2.231	2.576	2.807	2.399	2.713	2.47	2.649	2.32	2.957	2.563	2.772	3.057	2.53298	1149797.0	1555417.948757
sub-3_ses-16_T1w.long.sub-3_base	2.882	2.622	1.833	3.283	2.8	2.455	2.877	2.552	2.075	2.638	2.152	2.474	2.737	2.608	2.563	2.752	2.79	2.55	1.755	2.226	2.614	2.81	2.416	2.713	2.527	2.683	2.337	2.996	2.566	2.571	3.031	2.55503	1151208.0	1555417.948757
sub-3_ses-17_T1w.long.sub-3_base	2.807	2.664	1.818	3.19	2.779	2.437	2.852	2.501	2.1	2.64	2.14	2.414	2.667	2.643	2.576	2.731	2.717	2.474	1.709	2.148	2.552	2.756	2.416	2.728	2.542	2.642	2.315	2.969	2.543	2.53	3.008	2.52898	1154340.0	1555417.948757
sub-3_ses-18_T1w.long.sub-3_base	2.821	2.664	1.83	3.096	2.817	2.481	2.85	2.57	2.023	2.597	2.163	2.415	2.691	2.624	2.541	2.752	2.664	2.472	1.638	2.213	2.603	2.79	2.435	2.7	2.525	2.686	2.318	2.936	2.526	2.704	3.072	2.53697	1150908.0	1555417.948757
sub-3_ses-19_T1w.long.sub-3_base	2.789	2.601	1.838	3.477	2.79	2.431	2.852	2.551	2.047	2.63	2.161	2.444	2.679	2.6	2.634	2.696	2.693	2.481	1.73	2.212	2.563	2.819	2.383	2.671	2.521	2.659	2.334	2.958	2.564	2.675	2.968	2.53585	1148949.0	1555417.948757
sub-3_ses-20_T1w.long.sub-3_base	2.818	2.664	1.817	3.309	2.814	2.509	2.9	2.605	2.105	2.657	2.163	2.436	2.733	2.624	2.581	2.725	2.719	2.503	1.719	2.233	2.593	2.834	2.423	2.67	2.553	2.659	2.349	2.992	2.593	2.675	2.979	2.56183	1152661.0	1555417.948757
sub-3_ses-21_T1w.long.sub-3_base	2.777	2.523	1.85	3.109	2.78	2.413	2.824	2.535	2.047	2.572	2.148	2.465	2.64	2.675	2.52	2.663	2.615	2.4	1.751	2.102	2.563	2.716	2.33	2.726	2.448	2.59	2.234	2.907	2.492	2.754	2.968	2.48667	1139829.0	1555417.948757
sub-3_ses-22_T1w.long.sub-3_base	2.779	2.454	1.851	3.297	2.768	2.404	2.848	2.517	2.06	2.527	2.157	2.409	2.674	2.635	2.54	2.5	2.591	2.388	1.674	2.082	2.591	2.544	2.341	2.642	2.428	2.557	2.18	2.987	2.385	2.361	2.956	2.4621	1140081.0	1555417.948757
sub-3_ses-23_T1w.long.sub-3_base	2.849	2.604	1.824	3.369	2.805	2.472	2.858	2.499	2.078	2.627	2.182	2.417	2.693	2.662	2.565	2.702	2.711	2.5	1.712	2.204	2.597	2.807	2.417	2.696	2.49	2.603	2.32	2.988	2.571	2.616	3.001	2.53683	1142463.0	1555417.948757
sub-3_ses-24_T1w.long.sub-3_base	2.906	2.649	1.914	3.239	2.782	2.452	2.857	2.577	2.093	2.457	2.215	2.438	2.697	2.659	2.634	2.73	2.742	2.496	1.808	2.26	2.599	2.841	2.434	2.811	2.519	2.697	2.362	2.93	2.592	2.809	2.953	2.55664	1139831.0	1555417.948757
sub-3_ses-25_T1w.long.sub-3_base	2.826	2.597	1.863	3.245	2.761	2.434	2.835	2.547	2.066	2.586	2.121	2.412	2.689	2.582	2.568	2.659	2.647	2.469	1.683	2.167	2.579	2.735	2.384	2.718	2.453	2.594	2.339	2.94	2.533	2.573	3.011	2.5115	1139511.0	1555417.948757
