lh.aparc.DKTatlas.thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-1_ses-11_T1w.long.sub-1_base	2.701	2.594	1.826	3.603	2.707	2.344	2.889	2.287	2.009	2.617	1.925	2.476	2.762	3.135	2.514	2.681	2.478	2.299	1.73	2.109	2.476	2.69	2.238	2.666	2.362	2.731	2.138	2.994	2.505	2.427	3.125	2.4865	1115234.0	1525148.075844
sub-1_ses-12_T1w.long.sub-1_base	2.68	2.574	1.871	3.531	2.73	2.338	2.889	2.305	2.02	2.636	1.949	2.316	2.788	3.138	2.508	2.686	2.457	2.291	1.785	2.104	2.507	2.693	2.252	2.711	2.374	2.72	2.156	2.988	2.511	2.405	3.156	2.49038	1114033.0	1525148.075844
sub-1_ses-13_T1w.long.sub-1_base	2.68	2.545	1.846	3.612	2.733	2.401	2.935	2.331	2.044	2.657	1.914	2.428	2.797	3.192	2.544	2.674	2.475	2.305	1.699	2.136	2.526	2.728	2.281	2.715	2.387	2.747	2.169	2.996	2.56	2.409	3.148	2.51101	1119696.0	1525148.075844
sub-1_ses-14_T1w.long.sub-1_base	2.721	2.536	1.836	3.449	2.75	2.394	2.903	2.33	2.036	2.594	1.924	2.3	2.787	3.106	2.555	2.641	2.469	2.33	1.714	2.096	2.561	2.675	2.286	2.709	2.344	2.726	2.142	2.989	2.502	2.382	3.178	2.48997	1112759.0	1525148.075844
sub-1_ses-15_T1w.long.sub-1_base	2.628	2.534	1.845	3.626	2.728	2.363	2.895	2.412	2.049	2.702	1.987	2.385	2.761	3.197	2.418	2.681	2.533	2.331	1.805	2.114	2.536	2.665	2.212	2.697	2.334	2.684	2.102	2.993	2.476	2.385	3.23	2.48574	1114855.0	1525148.075844
sub-1_ses-16_T1w.long.sub-1_base	2.696	2.579	1.833	3.587	2.705	2.352	2.84	2.325	2.026	2.664	1.932	2.448	2.738	3.094	2.471	2.684	2.471	2.335	1.747	2.083	2.529	2.698	2.256	2.683	2.385	2.746	2.145	2.955	2.513	2.366	3.13	2.48691	1114150.0	1525148.075844
sub-1_ses-17_T1w.long.sub-1_base	2.684	2.562	1.872	3.649	2.707	2.369	2.894	2.351	2.023	2.648	1.919	2.519	2.756	3.147	2.437	2.639	2.482	2.314	1.761	2.111	2.483	2.651	2.226	2.643	2.335	2.691	2.143	2.955	2.527	2.379	3.158	2.48156	1114658.0	1525148.075844
sub-1_ses-18_T1w.long.sub-1_base	2.656	2.555	1.873	3.622	2.688	2.319	2.861	2.311	1.996	2.617	1.955	2.373	2.723	3.113	2.487	2.66	2.388	2.309	1.783	2.106	2.495	2.677	2.24	2.719	2.295	2.689	2.136	2.961	2.489	2.399	3.157	2.4701	1115650.0	1525148.075844
sub-1_ses-19_T1w.long.sub-1_base	2.715	2.533	1.863	3.618	2.735	2.395	2.898	2.297	2.088	2.662	1.929	2.499	2.789	3.153	2.496	2.689	2.493	2.333	1.754	2.111	2.517	2.702	2.244	2.67	2.348	2.724	2.157	2.988	2.54	2.44	3.165	2.50277	1120467.0	1525148.075844
sub-1_ses-20_T1w.long.sub-1_base	2.753	2.661	1.905	3.695	2.781	2.475	2.941	2.375	2.057	2.714	1.952	2.529	2.827	3.198	2.533	2.736	2.535	2.331	1.731	2.176	2.576	2.75	2.35	2.712	2.408	2.754	2.212	3.005	2.582	2.384	3.248	2.54764	1124297.0	1525148.075844
sub-1_ses-21_T1w.long.sub-1_base	2.704	2.615	1.871	3.605	2.734	2.402	2.89	2.344	2.046	2.673	1.926	2.533	2.775	3.161	2.484	2.701	2.528	2.363	1.745	2.136	2.529	2.712	2.282	2.749	2.377	2.736	2.17	2.975	2.542	2.43	3.207	2.51255	1110157.0	1525148.075844
sub-1_ses-22_T1w.long.sub-1_base	2.714	2.572	1.852	3.613	2.717	2.362	2.883	2.308	2.003	2.598	1.906	2.45	2.767	3.172	2.515	2.692	2.445	2.319	1.739	2.117	2.52	2.702	2.272	2.681	2.353	2.707	2.162	2.954	2.531	2.409	3.094	2.48769	1113841.0	1525148.075844
sub-1_ses-23_T1w.long.sub-1_base	2.706	2.618	1.865	3.573	2.729	2.357	2.903	2.327	2.051	2.654	1.958	2.514	2.784	3.158	2.532	2.696	2.495	2.34	1.781	2.136	2.529	2.728	2.283	2.723	2.387	2.759	2.183	3.018	2.541	2.395	3.178	2.51749	1121962.0	1525148.075844
sub-1_ses-24_T1w.long.sub-1_base	2.695	2.637	1.895	3.636	2.751	2.407	2.913	2.36	2.037	2.701	1.914	2.413	2.792	3.152	2.51	2.689	2.515	2.329	1.762	2.123	2.522	2.727	2.308	2.681	2.387	2.736	2.185	3.011	2.558	2.355	3.224	2.51855	1118779.0	1525148.075844
sub-1_ses-25_T1w.long.sub-1_base	2.699	2.646	1.842	3.694	2.736	2.429	2.904	2.383	2.067	2.666	1.875	2.497	2.775	3.189	2.515	2.697	2.504	2.304	1.711	2.13	2.561	2.722	2.296	2.659	2.374	2.734	2.188	2.998	2.549	2.518	3.142	2.51481	1118250.0	1525148.075844
sub-1_ses-26_T1w.long.sub-1_base	2.664	2.542	1.83	3.663	2.719	2.36	2.902	2.346	2.036	2.605	1.927	2.309	2.777	3.128	2.464	2.687	2.464	2.284	1.755	2.087	2.54	2.654	2.217	2.683	2.29	2.687	2.124	2.987	2.529	2.428	3.15	2.47473	1106590.0	1525148.075844
sub-1_ses-27_T1w.long.sub-1_base	2.682	2.623	1.865	3.785	2.721	2.42	2.902	2.387	2.019	2.678	1.952	2.51	2.767	3.166	2.459	2.693	2.512	2.323	1.735	2.119	2.526	2.706	2.307	2.683	2.366	2.74	2.188	2.989	2.547	2.386	3.178	2.51214	1112330.0	1525148.075844
sub-1_ses-28_T1w.long.sub-1_base	2.757	2.524	1.844	3.622	2.751	2.387	2.886	2.39	2.044	2.65	1.951	2.51	2.78	3.124	2.5	2.677	2.507	2.311	1.763	2.118	2.544	2.693	2.278	2.675	2.336	2.714	2.157	2.998	2.543	2.342	3.173	2.50125	1115266.0	1525148.075844
sub-1_ses-29_T1w.long.sub-1_base	2.677	2.595	1.883	3.649	2.707	2.395	2.902	2.324	2.049	2.673	1.918	2.484	2.752	3.117	2.49	2.661	2.485	2.287	1.72	2.105	2.518	2.693	2.259	2.662	2.379	2.715	2.164	2.966	2.524	2.425	3.15	2.49576	1110486.0	1525148.075844
sub-1_ses-30_T1w.long.sub-1_base	2.75	2.563	1.84	3.541	2.719	2.425	2.918	2.414	2.076	2.678	1.935	2.516	2.767	3.091	2.425	2.715	2.526	2.339	1.724	2.134	2.536	2.689	2.292	2.761	2.372	2.721	2.172	2.994	2.554	2.391	3.241	2.51274	1112556.0	1525148.075844
sub-1_ses-31_T1w.long.sub-1_base	2.732	2.543	1.897	3.613	2.693	2.374	2.885	2.323	2.06	2.66	1.942	2.515	2.747	3.183	2.521	2.655	2.52	2.34	1.751	2.133	2.551	2.7	2.256	2.714	2.372	2.723	2.183	2.971	2.526	2.383	3.16	2.50243	1112968.0	1525148.075844
sub-1_ses-32_T1w.long.sub-1_base	2.648	2.52	1.864	3.604	2.7	2.358	2.847	2.366	2.019	2.653	1.957	2.503	2.73	3.14	2.476	2.695	2.464	2.331	1.76	2.118	2.535	2.701	2.259	2.696	2.359	2.702	2.168	2.967	2.497	2.416	3.177	2.48878	1111644.0	1525148.075844
sub-1_ses-33_T1w.long.sub-1_base	2.661	2.593	1.83	3.618	2.705	2.408	2.897	2.301	2.06	2.638	1.905	2.487	2.775	3.207	2.514	2.725	2.492	2.331	1.681	2.119	2.531	2.737	2.251	2.68	2.394	2.727	2.118	3.001	2.553	2.315	3.189	2.50351	1114726.0	1525148.075844
sub-1_ses-34_T1w.long.sub-1_base	2.779	2.684	1.926	3.721	2.805	2.428	2.979	2.405	2.08	2.693	1.933	2.501	2.825	3.148	2.593	2.723	2.544	2.297	1.727	2.155	2.583	2.763	2.291	2.776	2.414	2.804	2.185	3.037	2.541	2.458	3.168	2.54743	1133220.0	1525148.075844
sub-1_ses-35_T1w.long.sub-1_base	2.764	2.613	1.919	3.709	2.789	2.448	2.931	2.368	2.084	2.665	1.948	2.615	2.816	3.144	2.601	2.72	2.509	2.279	1.768	2.133	2.631	2.736	2.294	2.782	2.39	2.751	2.199	3.01	2.538	2.389	3.207	2.53743	1131480.0	1525148.075844
sub-1_ses-36_T1w.long.sub-1_base	2.749	2.641	1.898	3.762	2.815	2.473	2.999	2.401	2.12	2.645	1.934	2.474	2.834	3.135	2.571	2.663	2.481	2.292	1.697	2.147	2.592	2.745	2.31	2.741	2.39	2.755	2.204	3.023	2.555	2.449	3.183	2.54213	1138323.0	1525148.075844
sub-1_ses-37_T1w.long.sub-1_base	2.751	2.618	1.928	3.832	2.763	2.429	2.909	2.374	2.045	2.629	1.922	2.565	2.792	3.146	2.508	2.657	2.483	2.252	1.709	2.113	2.561	2.7	2.267	2.74	2.362	2.742	2.169	2.988	2.517	2.462	3.179	2.51203	1127517.0	1525148.075844
sub-1_ses-38_T1w.long.sub-1_base	2.641	2.551	1.884	3.78	2.739	2.361	2.888	2.346	2.057	2.641	1.928	2.498	2.743	3.133	2.486	2.629	2.441	2.277	1.797	2.103	2.53	2.685	2.223	2.723	2.326	2.709	2.143	2.965	2.465	2.435	3.153	2.48529	1123802.0	1525148.075844
