lh.aparc.thickness	lh_bankssts_thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_frontalpole_thickness	lh_temporalpole_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-1_ses-14_T1w	2.519	2.432	2.473	1.676	3.151	2.837	2.292	2.819	2.399	2.043	2.526	1.897	2.442	2.896	3.127	2.461	2.472	2.573	2.368	1.638	2.009	2.512	2.563	2.215	2.655	2.25	2.742	2.021	2.879	2.454	3.018	3.725	2.159	3.053	2.43594	1115723.0	1515725.221507
sub-1_ses-15_T1w	2.652	2.39	2.525	1.777	3.77	2.865	2.387	2.923	2.399	2.113	2.67	1.902	2.519	3.001	3.261	2.485	2.533	2.596	2.362	1.711	2.081	2.552	2.634	2.208	2.719	2.337	2.726	2.066	3.02	2.555	3.104	4.075	2.146	3.158	2.50648	1125847.0	1518894.995241
sub-1_ses-16_T1w	2.604	2.58	2.602	1.805	3.623	2.807	2.351	2.789	2.295	2.033	2.661	1.937	2.531	2.904	3.224	2.454	2.589	2.607	2.342	1.723	2.021	2.488	2.64	2.263	2.72	2.374	2.798	2.062	2.934	2.544	3.165	3.875	2.128	3.229	2.49246	1117342.0	1514997.76313
sub-1_ses-17_T1w	2.626	2.472	2.537	1.818	3.767	2.838	2.359	2.885	2.319	2.086	2.606	1.911	2.528	2.926	3.291	2.479	2.555	2.52	2.346	1.742	2.091	2.515	2.646	2.219	2.802	2.292	2.773	2.074	2.954	2.548	3.028	4.022	2.256	3.078	2.49361	1120152.0	1520894.239342
sub-1_ses-18_T1w	2.599	2.492	2.618	1.794	3.608	2.817	2.379	2.804	2.418	2.074	2.647	1.947	2.5	2.925	3.264	2.498	2.619	2.574	2.399	1.732	2.055	2.471	2.639	2.298	2.721	2.314	2.786	2.059	2.963	2.53	2.896	4.175	2.281	3.215	2.50171	1125119.0	1524080.00663
sub-1_ses-19_T1w	2.623	2.35	2.465	1.828	3.575	2.852	2.339	2.854	2.302	2.074	2.623	1.946	2.523	2.908	3.244	2.467	2.574	2.561	2.346	1.698	2.053	2.467	2.625	2.224	2.688	2.299	2.76	2.043	2.942	2.516	3.093	4.019	2.223	3.129	2.47871	1120296.0	1511396.779697
sub-1_ses-20_T1w	2.579	2.552	2.637	1.822	3.783	2.916	2.376	2.792	2.423	2.024	2.68	1.96	2.519	2.917	3.249	2.507	2.623	2.661	2.429	1.67	2.094	2.511	2.723	2.288	2.709	2.397	2.804	2.096	2.917	2.454	3.059	4.081	2.269	3.166	2.5124	1120909.0	1521727.123289
sub-1_ses-21_T1w	2.556	2.47	2.59	1.723	3.648	2.802	2.334	2.775	2.301	2.022	2.569	1.9	2.53	2.852	3.251	2.413	2.591	2.603	2.394	1.614	2.114	2.471	2.664	2.255	2.723	2.351	2.802	2.086	2.922	2.486	3.217	4.056	2.371	3.132	2.48163	1117714.0	1522418.22647
sub-1_ses-22_T1w	2.578	2.483	2.615	1.842	3.762	2.849	2.379	2.797	2.363	2.03	2.611	1.975	2.496	2.892	3.204	2.496	2.604	2.593	2.363	1.725	2.082	2.464	2.672	2.296	2.697	2.333	2.787	2.118	2.895	2.523	2.981	3.62	2.126	3.156	2.49672	1117548.0	1531738.652034
sub-1_ses-23_T1w	2.581	2.423	2.598	1.831	3.688	2.827	2.294	2.776	2.383	2.073	2.625	2.004	2.501	2.891	3.276	2.532	2.626	2.63	2.355	1.841	2.099	2.5	2.708	2.282	2.767	2.358	2.822	2.091	2.952	2.501	3.102	4.051	2.312	3.196	2.51123	1125378.0	1529547.594429
sub-1_ses-24_T1w	2.665	2.479	2.625	1.759	3.55	2.868	2.412	2.847	2.348	2.046	2.694	1.899	2.483	2.946	3.254	2.51	2.601	2.64	2.37	1.635	2.081	2.59	2.702	2.337	2.67	2.374	2.848	2.122	2.938	2.573	2.992	4.089	2.188	3.201	2.5228	1132691.0	1527441.742103
sub-1_ses-25_T1w	2.695	2.348	2.631	1.809	3.737	2.838	2.377	2.817	2.409	2.07	2.634	1.894	2.524	2.915	3.24	2.472	2.566	2.581	2.358	1.662	2.09	2.511	2.667	2.286	2.699	2.348	2.814	2.12	2.952	2.516	2.935	3.979	2.364	3.151	2.50429	1120511.0	1518140.51578
sub-1_ses-26_T1w	2.515	2.504	2.488	1.821	3.859	2.84	2.283	2.826	2.358	2.066	2.554	1.993	2.462	2.855	3.239	2.415	2.55	2.474	2.253	1.759	2.045	2.46	2.595	2.174	2.757	2.24	2.722	2.026	2.898	2.457	2.752	4.084	2.237	3.13	2.45529	1103676.0	1515796.923164
sub-1_ses-27_T1w	2.691	2.698	2.615	1.826	3.812	2.868	2.43	2.867	2.381	2.117	2.656	1.951	2.586	2.949	3.373	2.501	2.633	2.646	2.381	1.761	2.098	2.59	2.696	2.31	2.771	2.365	2.825	2.148	2.98	2.567	3.057	3.97	2.178	3.14	2.53897	1121957.0	1523979.663151
sub-1_ses-28_T1w	2.552	2.503	2.519	1.76	3.633	2.871	2.329	2.801	2.414	2.028	2.635	1.904	2.541	2.854	3.228	2.471	2.576	2.601	2.397	1.684	2.054	2.486	2.644	2.26	2.76	2.289	2.787	2.033	2.91	2.491	2.94	3.579	2.172	3.197	2.47434	1116823.0	1515117.576387
sub-1_ses-29_T1w	2.552	2.328	2.526	1.788	3.664	2.819	2.314	2.792	2.345	2.06	2.638	1.949	2.477	2.886	3.198	2.423	2.505	2.592	2.391	1.71	2.025	2.5	2.616	2.267	2.617	2.33	2.76	2.052	2.91	2.473	2.814	4.08	2.217	3.19	2.47226	1112475.0	1516067.341611
sub-1_ses-30_T1w	2.63	2.629	2.523	1.765	3.58	2.86	2.414	2.853	2.324	2.066	2.673	1.864	2.57	2.905	3.235	2.438	2.574	2.594	2.402	1.587	2.065	2.503	2.637	2.248	2.937	2.318	2.8	2.09	2.97	2.52	3.008	3.855	2.216	3.26	2.49616	1118572.0	1524703.256333
sub-1_ses-31_T1w	2.58	2.443	2.503	1.787	3.686	2.851	2.293	2.8	2.326	2.057	2.687	1.99	2.527	2.886	3.315	2.463	2.575	2.602	2.367	1.772	2.077	2.495	2.647	2.266	2.767	2.318	2.775	2.1	2.912	2.504	3.074	3.901	2.265	3.212	2.49201	1109511.0	1526756.198849
sub-1_ses-32_T1w	2.599	2.487	2.588	1.741	3.631	2.834	2.366	2.838	2.38	2.066	2.696	1.994	2.495	2.924	3.277	2.466	2.566	2.614	2.352	1.656	2.078	2.565	2.65	2.285	2.78	2.369	2.809	2.098	2.979	2.537	3.119	4.042	2.244	3.225	2.51068	1125886.0	1517587.725836
sub-1_ses-33_T1w	2.578	2.517	2.642	1.84	3.611	2.86	2.411	2.861	2.351	2.092	2.644	1.901	2.501	2.917	3.364	2.477	2.612	2.67	2.35	1.636	2.09	2.476	2.745	2.25	2.752	2.376	2.801	2.081	2.953	2.571	2.855	3.461	2.239	3.194	2.50991	1119589.0	1533417.255795
sub-1_ses-34_T1w	2.653	2.405	2.64	1.844	3.812	2.874	2.386	2.852	2.407	2.062	2.668	1.953	2.635	2.922	3.239	2.506	2.597	2.691	2.346	1.671	2.075	2.475	2.681	2.28	2.738	2.365	2.852	2.097	2.949	2.509	2.978	3.894	2.276	3.192	2.51986	1132027.0	1503403.154632
sub-1_ses-35_T1w	2.719	2.532	2.628	1.82	3.675	2.883	2.445	2.84	2.354	2.094	2.646	1.857	2.552	2.962	3.206	2.572	2.565	2.64	2.301	1.677	2.064	2.549	2.705	2.268	2.73	2.393	2.834	2.11	3.022	2.571	3.011	4.096	2.114	3.149	2.52741	1147765.0	1502353.297981
sub-1_ses-36_T1w	2.679	2.642	2.64	1.81	3.623	2.92	2.367	2.868	2.502	2.085	2.583	1.905	2.567	2.94	3.201	2.516	2.536	2.574	2.273	1.662	2.037	2.656	2.664	2.287	2.773	2.357	2.829	2.098	2.984	2.528	3.085	3.813	2.25	3.191	2.51525	1138930.0	1504065.528451
sub-1_ses-37_T1w	2.571	2.52	2.636	1.832	3.787	2.881	2.41	2.833	2.33	2.053	2.696	1.914	2.647	2.892	3.257	2.481	2.599	2.629	2.325	1.629	2.047	2.558	2.665	2.28	2.733	2.357	2.848	2.117	2.909	2.52	3.142	4.134	2.245	3.161	2.51207	1134308.0	1499907.811028
sub-1_ses-38_T1w	2.668	2.595	2.651	1.815	3.929	2.899	2.368	2.831	2.382	2.085	2.692	1.949	2.739	2.901	3.253	2.496	2.527	2.655	2.35	1.645	2.042	2.652	2.666	2.279	2.861	2.399	2.871	2.076	2.948	2.523	3.026	3.94	2.076	3.199	2.52461	1134785.0	1500552.226923
