rh.aparc.DKTatlas.thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness	BrainSegVolNotVent	eTIV	rh_temporalpole_thickness
sub-1_ses-11_T1w	2.46	2.475	1.827	3.474	2.818	2.432	2.801	2.333	2.231	2.517	2.026	2.432	2.798	2.99	2.501	2.448	2.57	2.426	1.582	2.083	2.52	2.611	2.412	2.89	2.361	2.776	2.164	2.969	2.482	2.03	3.261	2.49779	1123504.0	1517619.013061	0.0
sub-1_ses-12_T1w	2.439	2.48	1.855	3.559	2.807	2.373	2.742	2.394	2.249	2.511	2.05	2.422	2.805	3.014	2.523	2.471	2.602	2.369	1.569	2.09	2.477	2.609	2.455	2.814	2.35	2.751	2.209	2.973	2.489	2.01	3.18	2.4953	1122107.0	1534494.998629	1.038
sub-1_ses-13_T1w	2.539	2.417	1.874	3.465	2.819	2.414	2.731	2.252	2.272	2.526	2.057	2.474	2.805	3.005	2.513	2.432	2.588	2.433	1.605	2.026	2.481	2.556	2.415	2.964	2.341	2.737	2.145	2.89	2.449	2.033	3.197	2.4781	1119149.0	1521459.356656	1.166
sub-1_ses-14_T1w	2.579	2.402	1.813	3.394	2.828	2.434	2.759	2.334	2.196	2.45	1.964	2.338	2.773	2.96	2.488	2.386	2.551	2.331	1.548	2.012	2.482	2.574	2.379	2.815	2.331	2.674	2.118	2.912	2.398	2.006	3.159	2.44899	1115723.0	1515725.221507	0.0
sub-1_ses-15_T1w	2.384	2.29	1.821	3.5	2.811	2.382	2.803	2.366	2.266	2.492	2.003	2.371	2.808	2.972	2.378	2.344	2.621	2.332	1.516	2.025	2.51	2.509	2.366	2.859	2.31	2.689	2.126	2.958	2.428	2.076	3.18	2.45144	1125847.0	1518894.995241	0.0
sub-1_ses-16_T1w	2.483	2.427	1.841	3.434	2.793	2.39	2.777	2.279	2.19	2.577	2.07	2.449	2.734	2.931	2.457	2.373	2.522	2.355	1.616	2.011	2.485	2.554	2.397	2.905	2.296	2.715	2.147	2.85	2.434	2.037	3.197	2.45724	1117342.0	1514997.76313	0.0
sub-1_ses-17_T1w	2.52	2.448	1.818	3.692	2.824	2.385	2.831	2.277	2.241	2.528	1.994	2.411	2.858	2.999	2.458	2.376	2.623	2.405	1.505	2.064	2.516	2.559	2.379	2.85	2.29	2.727	2.164	2.987	2.502	2.094	3.192	2.48003	1120152.0	1520894.239342	0.0
sub-1_ses-18_T1w	2.498	2.436	1.881	3.654	2.836	2.412	2.777	2.446	2.291	2.617	2.075	2.378	2.828	2.992	2.521	2.409	2.659	2.377	1.618	2.061	2.565	2.573	2.436	2.848	2.347	2.716	2.167	3.007	2.475	2.057	3.276	2.50239	1125119.0	1524080.00663	0.0
sub-1_ses-19_T1w	2.411	2.409	1.819	3.583	2.804	2.343	2.824	2.343	2.214	2.543	1.992	2.453	2.767	2.978	2.473	2.384	2.498	2.376	1.543	2.03	2.527	2.554	2.372	2.876	2.294	2.712	2.108	2.948	2.43	2.023	3.22	2.45829	1120296.0	1511396.779697	0.0
sub-1_ses-20_T1w	2.459	2.398	1.849	3.627	2.8	2.315	2.762	2.37	2.226	2.557	2.044	2.473	2.729	2.993	2.546	2.384	2.523	2.318	1.61	2.013	2.454	2.524	2.406	2.85	2.287	2.701	2.168	2.892	2.404	2.093	3.231	2.45558	1120909.0	1521727.123289	0.0
sub-1_ses-21_T1w	2.64	2.466	1.805	3.574	2.769	2.341	2.81	2.194	2.216	2.578	1.961	2.41	2.8	2.973	2.488	2.467	2.656	2.429	1.506	2.089	2.563	2.62	2.372	2.898	2.369	2.749	2.173	2.97	2.532	2.048	3.275	2.48834	1117714.0	1522418.22647	0.0
sub-1_ses-22_T1w	2.447	2.459	1.866	3.623	2.804	2.354	2.741	2.328	2.212	2.506	2.05	2.389	2.751	2.989	2.505	2.414	2.52	2.36	1.682	2.042	2.473	2.578	2.424	2.764	2.311	2.693	2.17	2.963	2.429	2.093	3.249	2.47055	1117548.0	1531738.652034	0.0
sub-1_ses-23_T1w	2.593	2.521	1.865	3.763	2.838	2.422	2.837	2.362	2.295	2.543	2.09	2.387	2.831	3.02	2.553	2.548	2.559	2.41	1.677	2.11	2.55	2.672	2.468	2.861	2.389	2.784	2.223	3.008	2.544	2.119	3.283	2.53582	1125378.0	1529547.594429	0.0
sub-1_ses-24_T1w	2.572	2.52	1.83	3.73	2.817	2.45	2.829	2.223	2.285	2.615	1.96	2.459	2.823	2.985	2.51	2.479	2.545	2.419	1.476	2.076	2.611	2.608	2.454	2.985	2.407	2.81	2.194	2.983	2.548	2.118	3.249	2.51936	1132691.0	1527441.742103	0.0
sub-1_ses-25_T1w	2.421	2.425	1.81	3.42	2.821	2.31	2.773	2.41	2.219	2.549	2.028	2.421	2.815	2.972	2.433	2.377	2.638	2.376	1.544	2.057	2.504	2.566	2.366	2.732	2.329	2.686	2.147	2.966	2.447	2.129	3.22	2.46313	1120511.0	1518140.51578	0.0
sub-1_ses-26_T1w	2.574	2.386	1.804	3.634	2.818	2.277	2.793	2.278	2.226	2.484	2.06	2.44	2.801	2.918	2.44	2.356	2.606	2.324	1.651	2.016	2.499	2.531	2.372	2.826	2.246	2.675	2.11	2.946	2.439	2.017	3.216	2.44903	1103676.0	1515796.923164	1.074
sub-1_ses-27_T1w	2.647	2.437	1.857	3.559	2.87	2.385	2.815	2.34	2.278	2.57	2.03	2.453	2.847	3.001	2.542	2.425	2.603	2.412	1.575	2.103	2.554	2.628	2.414	2.944	2.329	2.718	2.194	3.017	2.544	1.994	3.233	2.5059	1121957.0	1523979.663151	0.0
sub-1_ses-28_T1w	2.501	2.405	1.797	3.461	2.853	2.364	2.815	2.378	2.216	2.497	2.038	2.49	2.81	3.026	2.49	2.427	2.549	2.37	1.572	2.031	2.523	2.555	2.403	2.9	2.349	2.762	2.127	2.899	2.443	2.126	3.225	2.47355	1116823.0	1515117.576387	0.0
sub-1_ses-29_T1w	2.551	2.45	1.834	3.666	2.802	2.405	2.781	2.34	2.245	2.571	1.991	2.431	2.827	2.982	2.396	2.455	2.59	2.387	1.54	2.045	2.482	2.568	2.386	2.836	2.339	2.726	2.15	2.955	2.453	2.0	3.233	2.47694	1112475.0	1516067.341611	0.0
sub-1_ses-30_T1w	2.484	2.332	1.868	3.503	2.807	2.383	2.84	2.337	2.268	2.579	1.985	2.479	2.773	2.923	2.485	2.314	2.618	2.376	1.517	2.02	2.62	2.575	2.374	2.797	2.281	2.723	2.153	2.951	2.45	2.068	3.221	2.46811	1118572.0	1524703.256333	0.0
sub-1_ses-31_T1w	2.537	2.443	1.884	3.588	2.776	2.354	2.737	2.378	2.267	2.569	2.06	2.461	2.746	3.042	2.504	2.418	2.636	2.434	1.636	2.05	2.528	2.601	2.423	2.965	2.357	2.713	2.155	2.934	2.482	2.053	3.278	2.48604	1109511.0	1526756.198849	1.015
sub-1_ses-32_T1w	2.488	2.454	1.805	3.571	2.822	2.426	2.762	2.432	2.235	2.571	2.02	2.41	2.85	3.013	2.489	2.442	2.633	2.417	1.548	2.08	2.506	2.595	2.417	2.845	2.38	2.746	2.177	3.015	2.504	2.005	3.221	2.50057	1125886.0	1517587.725836	0.0
sub-1_ses-33_T1w	2.59	2.453	1.897	3.419	2.808	2.329	2.81	2.28	2.266	2.468	2.014	2.434	2.824	2.952	2.477	2.475	2.632	2.408	1.612	2.03	2.503	2.602	2.388	2.95	2.337	2.799	2.104	2.927	2.484	2.046	3.207	2.48074	1119589.0	1533417.255795	0.0
sub-1_ses-34_T1w	2.535	2.471	1.853	3.588	2.797	2.405	2.844	2.467	2.217	2.568	2.041	2.518	2.789	3.035	2.553	2.405	2.613	2.401	1.536	2.022	2.57	2.59	2.427	2.914	2.318	2.795	2.19	2.922	2.441	2.016	3.243	2.49512	1132027.0	1503403.154632	0.0
sub-1_ses-35_T1w	2.461	2.491	1.796	3.609	2.754	2.525	2.791	2.321	2.273	2.501	1.963	2.331	2.875	2.968	2.537	2.361	2.701	2.321	1.481	2.034	2.5	2.588	2.409	2.752	2.38	2.787	2.156	2.99	2.511	1.841	3.173	2.49397	1147765.0	1502353.297981	0.0
sub-1_ses-36_T1w	2.482	2.43	1.861	3.459	2.799	2.43	2.819	2.409	2.222	2.495	2.017	2.438	2.763	2.981	2.504	2.379	2.584	2.343	1.549	2.013	2.468	2.548	2.409	2.886	2.305	2.754	2.142	2.89	2.465	1.988	3.197	2.46886	1138930.0	1504065.528451	0.0
sub-1_ses-37_T1w	2.706	2.504	1.81	3.57	2.799	2.478	2.836	2.252	2.239	2.561	2.007	2.515	2.861	2.99	2.507	2.398	2.706	2.338	1.454	2.04	2.534	2.611	2.418	2.943	2.356	2.802	2.225	2.968	2.541	2.09	3.22	2.50987	1134308.0	1499907.811028	1.1
sub-1_ses-38_T1w	2.497	2.471	1.869	3.413	2.821	2.396	2.837	2.326	2.24	2.552	2.0	2.497	2.836	2.978	2.453	2.401	2.662	2.42	1.511	2.033	2.47	2.557	2.42	2.861	2.34	2.79	2.168	2.953	2.492	1.983	3.247	2.49185	1134785.0	1500552.226923	0.0
