lh.aparc.DKTatlas.thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-1_ses-11_T1w	2.693	2.597	1.767	3.745	2.771	2.387	2.945	2.372	2.065	2.69	1.908	2.497	2.788	3.244	2.465	2.677	2.456	2.24	1.608	2.052	2.453	2.671	2.277	2.75	2.397	2.729	2.088	3.034	2.539	2.294	3.222	2.49879	1123504.0	1517619.013061
sub-1_ses-12_T1w	2.689	2.589	1.868	3.536	2.747	2.369	2.91	2.424	2.06	2.703	2.002	2.408	2.783	3.203	2.455	2.64	2.421	2.235	1.752	2.051	2.578	2.658	2.282	2.745	2.332	2.692	2.107	3.009	2.529	2.284	3.177	2.49357	1122107.0	1534494.998629
sub-1_ses-13_T1w	2.678	2.552	1.824	3.699	2.77	2.429	3.002	2.371	2.151	2.654	1.916	2.526	2.872	3.312	2.527	2.633	2.543	2.292	1.677	2.101	2.486	2.674	2.32	2.773	2.406	2.724	2.143	3.017	2.593	2.252	3.269	2.52869	1119149.0	1521459.356656
sub-1_ses-14_T1w	2.667	2.469	1.709	3.158	2.74	2.33	2.899	2.414	2.051	2.581	1.892	2.304	2.748	3.124	2.45	2.562	2.431	2.273	1.65	2.012	2.5	2.578	2.232	2.67	2.29	2.652	2.032	2.931	2.45	2.145	3.22	2.43594	1115723.0	1515725.221507
sub-1_ses-15_T1w	2.619	2.529	1.802	3.704	2.741	2.414	3.024	2.406	2.115	2.755	1.905	2.512	2.874	3.244	2.469	2.625	2.514	2.249	1.724	2.083	2.548	2.648	2.217	2.693	2.372	2.659	2.076	3.088	2.551	2.166	3.198	2.50648	1125847.0	1518894.995241
sub-1_ses-16_T1w	2.748	2.611	1.826	3.561	2.689	2.382	2.894	2.313	2.042	2.75	1.932	2.51	2.777	3.223	2.448	2.672	2.446	2.262	1.73	2.03	2.495	2.647	2.268	2.739	2.402	2.725	2.076	2.998	2.543	2.134	3.233	2.49246	1117342.0	1514997.76313
sub-1_ses-17_T1w	2.714	2.54	1.843	3.731	2.724	2.384	2.989	2.349	2.093	2.665	1.913	2.543	2.802	3.282	2.463	2.626	2.455	2.269	1.743	2.088	2.487	2.655	2.233	2.769	2.332	2.681	2.083	3.014	2.55	2.259	3.118	2.49361	1120152.0	1520894.239342
sub-1_ses-18_T1w	2.716	2.619	1.83	3.575	2.709	2.406	2.922	2.432	2.081	2.704	1.943	2.489	2.788	3.245	2.49	2.689	2.475	2.287	1.734	2.06	2.487	2.649	2.307	2.739	2.36	2.695	2.065	3.032	2.533	2.269	3.243	2.50171	1125119.0	1524080.00663
sub-1_ses-19_T1w	2.611	2.481	1.844	3.514	2.75	2.362	2.961	2.318	2.076	2.659	1.949	2.509	2.786	3.263	2.469	2.664	2.437	2.235	1.703	2.053	2.479	2.638	2.235	2.698	2.347	2.666	2.048	2.995	2.528	2.225	3.226	2.47871	1120296.0	1511396.779697
sub-1_ses-20_T1w	2.772	2.634	1.839	3.75	2.799	2.408	2.911	2.447	2.03	2.745	1.952	2.496	2.777	3.226	2.503	2.693	2.531	2.339	1.693	2.095	2.516	2.733	2.298	2.694	2.448	2.723	2.106	2.989	2.453	2.27	3.225	2.5124	1120909.0	1521727.123289
sub-1_ses-21_T1w	2.688	2.599	1.736	3.651	2.708	2.354	2.864	2.328	2.033	2.645	1.896	2.488	2.733	3.263	2.426	2.651	2.479	2.311	1.619	2.099	2.482	2.675	2.269	2.75	2.378	2.729	2.107	2.993	2.495	2.374	3.199	2.48163	1117714.0	1522418.22647
sub-1_ses-22_T1w	2.708	2.622	1.875	3.695	2.728	2.41	2.905	2.382	2.042	2.651	1.973	2.495	2.767	3.222	2.5	2.681	2.451	2.292	1.732	2.077	2.464	2.681	2.304	2.7	2.371	2.704	2.131	2.944	2.524	2.117	3.168	2.49672	1117548.0	1531738.652034
sub-1_ses-23_T1w	2.695	2.601	1.856	3.657	2.73	2.321	2.873	2.38	2.074	2.697	2.011	2.496	2.745	3.28	2.53	2.68	2.502	2.285	1.845	2.098	2.525	2.716	2.295	2.776	2.401	2.729	2.101	3.027	2.507	2.307	3.237	2.51123	1125378.0	1529547.594429
sub-1_ses-24_T1w	2.727	2.631	1.809	3.504	2.767	2.437	2.95	2.368	2.057	2.728	1.901	2.438	2.812	3.256	2.5	2.673	2.561	2.288	1.644	2.079	2.581	2.71	2.352	2.713	2.411	2.775	2.128	3.024	2.583	2.185	3.22	2.5228	1132691.0	1527441.742103
sub-1_ses-25_T1w	2.64	2.634	1.853	3.664	2.721	2.407	2.936	2.424	2.076	2.692	1.891	2.466	2.804	3.248	2.454	2.655	2.529	2.256	1.672	2.094	2.536	2.679	2.304	2.705	2.384	2.73	2.121	3.014	2.519	2.364	3.159	2.50429	1120511.0	1518140.51578
sub-1_ses-26_T1w	2.673	2.489	1.828	3.823	2.724	2.33	2.933	2.368	2.066	2.629	1.992	2.46	2.715	3.233	2.418	2.617	2.357	2.194	1.765	2.041	2.447	2.606	2.186	2.732	2.255	2.641	2.038	2.973	2.462	2.217	3.199	2.45529	1103676.0	1515796.923164
sub-1_ses-27_T1w	2.825	2.624	1.87	3.798	2.763	2.445	2.974	2.383	2.122	2.71	1.954	2.528	2.836	3.359	2.49	2.694	2.531	2.324	1.773	2.108	2.593	2.707	2.323	2.796	2.39	2.763	2.156	3.045	2.568	2.179	3.182	2.53897	1121957.0	1523979.663151
sub-1_ses-28_T1w	2.693	2.531	1.786	3.636	2.767	2.35	2.89	2.421	2.028	2.693	1.911	2.542	2.741	3.247	2.459	2.661	2.453	2.28	1.687	2.055	2.499	2.657	2.271	2.767	2.331	2.696	2.044	2.931	2.49	2.185	3.286	2.47434	1116823.0	1515117.576387
sub-1_ses-29_T1w	2.618	2.531	1.822	3.622	2.706	2.35	2.904	2.385	2.07	2.699	1.948	2.409	2.738	3.214	2.406	2.592	2.445	2.272	1.712	2.032	2.49	2.626	2.276	2.7	2.378	2.683	2.057	2.991	2.472	2.206	3.212	2.47226	1112475.0	1516067.341611
sub-1_ses-30_T1w	2.842	2.532	1.794	3.529	2.754	2.438	2.964	2.343	2.082	2.748	1.855	2.518	2.794	3.221	2.45	2.657	2.499	2.287	1.596	2.066	2.488	2.644	2.268	2.94	2.344	2.706	2.092	3.016	2.522	2.206	3.256	2.49616	1118572.0	1524703.256333
sub-1_ses-31_T1w	2.66	2.518	1.824	3.684	2.73	2.33	2.909	2.335	2.068	2.732	1.984	2.536	2.743	3.316	2.468	2.658	2.517	2.267	1.778	2.077	2.517	2.655	2.276	2.756	2.36	2.69	2.11	2.979	2.509	2.266	3.27	2.49201	1109511.0	1526756.198849
sub-1_ses-32_T1w	2.73	2.589	1.789	3.619	2.724	2.395	2.929	2.397	2.073	2.723	1.989	2.501	2.788	3.266	2.477	2.635	2.52	2.267	1.663	2.079	2.573	2.664	2.302	2.753	2.408	2.722	2.103	3.047	2.544	2.235	3.27	2.51068	1125886.0	1517587.725836
sub-1_ses-33_T1w	2.71	2.653	1.849	3.561	2.727	2.427	2.959	2.348	2.116	2.692	1.899	2.443	2.785	3.359	2.486	2.674	2.504	2.293	1.642	2.082	2.493	2.755	2.269	2.797	2.402	2.724	2.084	2.975	2.586	2.254	3.206	2.50991	1119589.0	1533417.255795
sub-1_ses-34_T1w	2.709	2.648	1.876	3.792	2.76	2.406	2.948	2.429	2.072	2.686	1.956	2.626	2.809	3.226	2.514	2.682	2.51	2.241	1.67	2.077	2.482	2.694	2.291	2.732	2.418	2.764	2.097	3.002	2.521	2.27	3.248	2.51986	1132027.0	1503403.154632
sub-1_ses-35_T1w	2.745	2.634	1.851	3.619	2.764	2.487	2.954	2.37	2.093	2.677	1.863	2.514	2.847	3.201	2.567	2.683	2.53	2.179	1.677	2.064	2.558	2.719	2.279	2.718	2.435	2.763	2.118	3.1	2.57	2.108	3.224	2.52741	1147765.0	1502353.297981
sub-1_ses-36_T1w	2.829	2.649	1.845	3.665	2.802	2.397	2.972	2.504	2.087	2.597	1.915	2.574	2.828	3.226	2.507	2.647	2.475	2.162	1.674	2.043	2.655	2.677	2.299	2.772	2.417	2.743	2.104	3.025	2.541	2.249	3.241	2.51525	1138930.0	1504065.528451
sub-1_ses-37_T1w	2.753	2.647	1.861	3.776	2.746	2.437	2.96	2.346	2.054	2.706	1.914	2.662	2.775	3.209	2.482	2.686	2.506	2.231	1.636	2.043	2.557	2.676	2.294	2.738	2.409	2.76	2.125	2.982	2.529	2.248	3.252	2.51207	1134308.0	1499907.811028
sub-1_ses-38_T1w	2.802	2.667	1.848	3.835	2.772	2.397	2.958	2.39	2.09	2.716	1.952	2.728	2.802	3.266	2.498	2.627	2.606	2.241	1.653	2.046	2.663	2.677	2.289	2.833	2.419	2.805	2.082	3.011	2.524	2.062	3.24	2.52461	1134785.0	1500552.226923
