lh.aparc.DKTatlas.thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-2_ses-23_T1w	2.662	2.863	2.092	3.208	2.948	2.413	3.032	2.447	2.338	2.679	2.23	2.596	3.049	3.022	2.419	2.742	2.779	2.611	1.875	2.251	2.502	2.782	2.463	2.826	2.679	2.816	2.274	3.065	2.754	2.663	3.252	2.64166	1311205.0	1634763.232587
sub-2_ses-24_T1w	2.624	2.843	2.102	3.495	2.915	2.429	2.996	2.61	2.339	2.662	2.252	2.649	2.991	3.024	2.36	2.749	2.735	2.608	1.859	2.22	2.408	2.776	2.529	2.827	2.598	2.798	2.265	3.02	2.681	2.699	3.16	2.62709	1306841.0	1643422.174738
sub-2_ses-25_T1w	2.709	2.857	2.033	3.428	2.878	2.433	3.002	2.579	2.284	2.672	2.193	2.721	3.013	3.056	2.399	2.728	2.764	2.579	1.77	2.213	2.56	2.72	2.439	2.883	2.604	2.764	2.219	2.994	2.715	2.585	3.248	2.60984	1298328.0	1653651.081123
sub-2_ses-26_T1w	2.74	2.893	2.093	3.377	2.902	2.398	3.022	2.623	2.329	2.681	2.21	2.615	3.029	2.925	2.466	2.731	2.645	2.578	1.86	2.248	2.504	2.76	2.457	2.823	2.612	2.749	2.228	3.066	2.692	2.615	3.213	2.62396	1307272.0	1635443.488623
sub-2_ses-27_T1w	2.672	2.821	2.035	3.396	2.805	2.363	2.963	2.583	2.236	2.665	2.168	2.669	2.933	3.007	2.432	2.662	2.735	2.521	1.806	2.203	2.555	2.748	2.409	2.871	2.585	2.731	2.206	3.002	2.614	2.613	3.166	2.57939	1299537.0	1670780.348511
sub-2_ses-28_T1w	2.666	2.851	2.044	3.257	2.913	2.379	2.996	2.532	2.325	2.686	2.174	2.675	2.992	2.995	2.372	2.691	2.731	2.564	1.854	2.223	2.475	2.746	2.41	2.821	2.596	2.741	2.226	2.993	2.682	2.601	3.204	2.60313	1301893.0	1644100.725639
sub-2_ses-29_T1w	2.696	2.915	2.107	3.351	2.895	2.4	2.998	2.652	2.32	2.711	2.209	2.623	3.026	3.074	2.4	2.725	2.728	2.592	1.792	2.285	2.597	2.792	2.467	2.875	2.696	2.793	2.262	3.059	2.688	2.778	3.285	2.64168	1310647.0	1680910.842606
sub-2_ses-30_T1w	2.665	2.843	2.091	3.308	2.916	2.393	3.043	2.526	2.284	2.661	2.186	2.708	3.004	3.025	2.376	2.677	2.721	2.578	1.871	2.244	2.507	2.703	2.425	2.935	2.595	2.758	2.222	3.073	2.705	2.609	3.28	2.61312	1291758.0	1709080.824849
sub-2_ses-31_T1w	2.72	2.844	2.061	3.432	2.872	2.357	2.955	2.498	2.282	2.691	2.222	2.676	3.028	2.986	2.457	2.756	2.728	2.566	1.915	2.244	2.402	2.74	2.436	2.891	2.628	2.765	2.221	3.017	2.75	2.616	3.267	2.61693	1310970.0	1636262.738909
sub-2_ses-32_T1w	2.684	2.859	2.082	2.974	2.836	2.403	2.864	2.599	2.307	2.514	2.177	2.629	3.013	3.025	2.447	2.744	2.686	2.528	1.869	2.266	2.448	2.739	2.437	2.828	2.594	2.777	2.248	2.993	2.721	2.532	3.236	2.60089	1304827.0	1630004.557942
sub-2_ses-33_T1w	2.684	2.873	2.152	3.337	2.906	2.436	3.019	2.565	2.333	2.645	2.209	2.696	2.99	2.951	2.503	2.673	2.685	2.631	1.879	2.279	2.457	2.759	2.495	2.797	2.648	2.819	2.266	3.066	2.735	2.62	3.249	2.64007	1314538.0	1653611.591144
sub-2_ses-34_T1w	2.625	2.817	1.999	3.107	2.832	2.386	2.988	2.557	2.267	2.641	2.165	2.606	2.979	2.998	2.37	2.695	2.707	2.593	1.814	2.205	2.375	2.779	2.431	2.87	2.615	2.752	2.208	2.987	2.722	2.609	3.249	2.59304	1292732.0	1670095.132907
sub-2_ses-35_T1w	2.71	2.877	2.06	3.248	2.912	2.448	2.95	2.548	2.335	2.569	2.25	2.682	2.99	3.003	2.46	2.71	2.559	2.554	1.835	2.247	2.59	2.768	2.425	2.808	2.628	2.797	2.265	3.015	2.745	2.719	3.211	2.62409	1302889.0	1636225.221821
sub-2_ses-36_T1w	2.719	2.994	2.087	3.313	2.863	2.451	2.952	2.484	2.207	2.686	2.153	2.6	2.945	2.924	2.431	2.683	2.655	2.619	1.763	2.248	2.476	2.866	2.458	2.871	2.669	2.799	2.284	2.985	2.687	2.692	3.245	2.6174	1327908.0	1647698.579216
sub-2_ses-37_T1w	2.719	2.878	2.158	3.237	2.848	2.437	2.952	2.598	2.196	2.593	2.264	2.697	2.928	3.063	2.362	2.659	2.579	2.581	1.829	2.206	2.58	2.757	2.433	2.877	2.598	2.741	2.22	3.001	2.675	2.565	3.363	2.59811	1313180.0	1647136.248558
sub-2_ses-38_T1w	2.738	2.917	2.066	3.248	2.862	2.363	2.905	2.547	2.161	2.764	2.206	2.861	2.935	3.039	2.381	2.666	2.645	2.558	1.859	2.263	2.469	2.801	2.386	2.93	2.638	2.814	2.187	2.976	2.672	2.761	3.35	2.60577	1308214.0	1639297.80962
sub-2_ses-39_T1w	2.74	2.912	2.087	3.332	2.842	2.398	2.954	2.495	2.173	2.65	2.218	2.698	2.976	2.98	2.347	2.622	2.733	2.564	1.827	2.233	2.46	2.787	2.402	2.789	2.634	2.763	2.256	2.971	2.643	2.638	3.22	2.59359	1314503.0	1634449.798608
sub-2_ses-40_T1w	2.774	2.923	2.004	3.279	2.78	2.359	2.894	2.468	2.166	2.628	2.072	2.653	2.969	2.855	2.34	2.648	2.628	2.555	1.646	2.194	2.553	2.741	2.345	2.863	2.647	2.784	2.164	2.949	2.553	2.466	3.15	2.55913	1317729.0	1640552.805757
