lh.aparc.DKTatlas.thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-2_ses-11_T1w.long.sub-2_base	2.716	2.894	2.16	3.479	2.923	2.484	3.054	2.505	2.355	2.689	2.227	2.712	3.047	2.999	2.541	2.755	2.769	2.676	1.914	2.325	2.378	2.831	2.543	2.769	2.673	2.858	2.327	3.134	2.788	2.842	3.175	2.67733	1312811.0	1658297.590527
sub-2_ses-12_T1w.long.sub-2_base	2.782	2.91	2.112	3.593	2.933	2.535	3.057	2.564	2.361	2.752	2.275	2.754	3.069	2.99	2.386	2.798	2.805	2.719	1.884	2.308	2.605	2.862	2.543	2.862	2.716	2.892	2.326	3.134	2.859	2.867	3.235	2.70158	1311567.0	1658297.590527
sub-2_ses-13_T1w.long.sub-2_base	2.698	2.933	2.157	3.485	2.942	2.498	3.067	2.555	2.377	2.735	2.255	2.716	3.069	2.918	2.536	2.789	2.796	2.689	1.894	2.332	2.423	2.858	2.547	2.809	2.693	2.839	2.355	3.132	2.819	2.678	3.206	2.69083	1312075.0	1658297.590527
sub-2_ses-14_T1w.long.sub-2_base	2.743	2.914	2.145	3.506	2.944	2.491	3.009	2.509	2.364	2.688	2.277	2.69	3.072	2.94	2.467	2.779	2.696	2.656	1.868	2.354	2.405	2.846	2.546	2.81	2.616	2.8	2.335	3.14	2.827	2.824	3.234	2.67668	1302504.0	1658297.590527
sub-2_ses-15_T1w.long.sub-2_base	2.685	2.923	2.096	3.449	2.899	2.509	3.0	2.544	2.361	2.769	2.231	2.731	3.045	2.965	2.458	2.796	2.782	2.725	1.858	2.365	2.524	2.815	2.508	2.767	2.691	2.838	2.316	3.15	2.84	2.689	3.236	2.68214	1309106.0	1658297.590527
sub-2_ses-16_T1w.long.sub-2_base	2.64	2.813	2.124	3.525	2.903	2.441	2.979	2.512	2.316	2.595	2.263	2.658	3.01	3.003	2.543	2.687	2.62	2.543	1.92	2.292	2.406	2.787	2.493	2.769	2.567	2.761	2.326	3.106	2.756	2.839	3.179	2.63235	1302681.0	1658297.590527
sub-2_ses-17_T1w.long.sub-2_base	2.707	2.885	2.154	3.468	2.944	2.516	3.066	2.542	2.372	2.757	2.281	2.711	3.064	2.972	2.45	2.793	2.758	2.711	1.905	2.354	2.571	2.84	2.525	2.808	2.693	2.864	2.33	3.152	2.839	2.806	3.241	2.69673	1308567.0	1658297.590527
sub-2_ses-18_T1w.long.sub-2_base	2.691	2.892	2.162	3.085	2.892	2.499	3.039	2.515	2.374	2.661	2.272	2.654	3.059	3.016	2.561	2.776	2.634	2.605	1.882	2.348	2.386	2.815	2.538	2.794	2.604	2.782	2.344	3.148	2.792	2.788	3.231	2.66688	1311290.0	1658297.590527
sub-2_ses-19_T1w.long.sub-2_base	2.621	2.847	2.109	3.454	2.872	2.453	3.01	2.485	2.335	2.675	2.245	2.675	3.018	2.946	2.447	2.697	2.732	2.588	1.882	2.292	2.386	2.819	2.47	2.781	2.566	2.748	2.282	3.095	2.756	2.841	3.157	2.63191	1300890.0	1658297.590527
sub-2_ses-20_T1w.long.sub-2_base	2.693	2.927	2.159	3.448	2.916	2.495	3.049	2.528	2.355	2.69	2.247	2.716	3.035	2.969	2.555	2.757	2.726	2.653	1.917	2.335	2.447	2.826	2.529	2.8	2.678	2.837	2.35	3.136	2.828	2.841	3.195	2.68024	1317406.0	1658297.590527
sub-2_ses-21_T1w.long.sub-2_base	2.666	2.822	2.173	3.59	2.928	2.49	3.038	2.529	2.327	2.662	2.244	2.704	3.036	2.961	2.477	2.741	2.697	2.622	1.949	2.308	2.474	2.813	2.503	2.782	2.648	2.791	2.32	3.154	2.789	2.827	3.228	2.66302	1313591.0	1658297.590527
sub-2_ses-22_T1w.long.sub-2_base	2.694	2.893	2.089	3.442	2.898	2.458	3.033	2.516	2.336	2.645	2.251	2.668	3.039	2.977	2.394	2.745	2.71	2.574	1.854	2.286	2.377	2.833	2.505	2.764	2.588	2.798	2.275	3.103	2.764	2.787	3.241	2.64479	1305368.0	1658297.590527
sub-2_ses-23_T1w.long.sub-2_base	2.702	2.893	2.18	3.379	2.932	2.488	3.021	2.498	2.375	2.675	2.242	2.685	3.028	2.893	2.524	2.754	2.747	2.635	1.93	2.317	2.513	2.835	2.515	2.786	2.651	2.821	2.353	3.14	2.772	2.804	3.179	2.67191	1310886.0	1658297.590527
sub-2_ses-24_T1w.long.sub-2_base	2.743	2.925	2.159	3.489	2.915	2.493	2.999	2.51	2.357	2.723	2.279	2.739	3.02	3.028	2.455	2.806	2.781	2.705	1.928	2.353	2.473	2.86	2.544	2.851	2.667	2.846	2.329	3.115	2.799	2.831	3.271	2.68607	1303778.0	1658297.590527
sub-2_ses-25_T1w.long.sub-2_base	2.732	2.913	2.125	3.474	2.944	2.483	3.052	2.572	2.337	2.708	2.284	2.695	3.045	2.996	2.465	2.784	2.763	2.662	1.921	2.306	2.49	2.793	2.502	2.865	2.606	2.786	2.287	3.103	2.802	2.854	3.26	2.666	1302173.0	1658297.590527
sub-2_ses-26_T1w.long.sub-2_base	2.724	2.926	2.148	3.377	2.976	2.543	3.043	2.546	2.39	2.743	2.245	2.674	3.064	2.914	2.538	2.818	2.762	2.696	1.9	2.336	2.528	2.84	2.554	2.795	2.651	2.808	2.347	3.148	2.818	2.754	3.179	2.68991	1314109.0	1658297.590527
sub-2_ses-27_T1w.long.sub-2_base	2.747	2.859	2.128	3.506	2.931	2.463	3.048	2.573	2.342	2.71	2.265	2.779	3.006	2.969	2.487	2.798	2.817	2.679	1.93	2.342	2.442	2.873	2.554	2.844	2.667	2.847	2.319	3.144	2.753	2.835	3.245	2.68202	1303584.0	1658297.590527
sub-2_ses-28_T1w.long.sub-2_base	2.72	2.909	2.136	3.48	2.926	2.482	3.029	2.544	2.368	2.689	2.261	2.722	3.053	2.93	2.502	2.764	2.708	2.667	1.882	2.342	2.452	2.812	2.51	2.778	2.625	2.787	2.32	3.103	2.787	2.798	3.22	2.66655	1302591.0	1658297.590527
sub-2_ses-29_T1w.long.sub-2_base	2.729	2.923	2.167	3.533	2.912	2.523	3.073	2.518	2.39	2.708	2.251	2.718	3.043	2.979	2.476	2.775	2.728	2.646	1.881	2.371	2.423	2.83	2.563	2.757	2.69	2.83	2.343	3.111	2.77	2.717	3.234	2.68416	1314804.0	1658297.590527
sub-2_ses-30_T1w.long.sub-2_base	2.713	2.923	2.132	3.42	2.929	2.473	3.039	2.501	2.34	2.681	2.262	2.745	3.035	2.958	2.467	2.764	2.784	2.677	1.879	2.33	2.412	2.826	2.479	2.774	2.629	2.802	2.283	3.154	2.778	2.82	3.242	2.66494	1300797.0	1658297.590527
sub-2_ses-31_T1w.long.sub-2_base	2.732	2.948	2.161	3.458	2.942	2.497	3.07	2.519	2.37	2.709	2.227	2.716	3.096	2.957	2.499	2.841	2.745	2.699	1.908	2.355	2.415	2.869	2.549	2.815	2.669	2.837	2.349	3.17	2.818	2.825	3.231	2.69504	1313545.0	1658297.590527
sub-2_ses-32_T1w.long.sub-2_base	2.719	2.888	2.157	3.317	2.892	2.469	2.996	2.539	2.36	2.616	2.253	2.684	3.038	2.956	2.511	2.768	2.759	2.597	1.904	2.346	2.516	2.804	2.484	2.759	2.61	2.8	2.301	3.095	2.812	2.737	3.187	2.65565	1300784.0	1658297.590527
sub-2_ses-33_T1w.long.sub-2_base	2.696	2.872	2.141	3.478	2.887	2.51	3.031	2.499	2.369	2.71	2.26	2.731	3.027	2.906	2.566	2.782	2.707	2.664	1.917	2.313	2.411	2.816	2.498	2.813	2.667	2.817	2.306	3.112	2.759	2.759	3.205	2.66782	1317159.0	1658297.590527
sub-2_ses-34_T1w.long.sub-2_base	2.671	2.901	2.143	3.409	2.886	2.484	3.03	2.538	2.358	2.674	2.244	2.658	3.047	2.945	2.502	2.765	2.754	2.66	1.916	2.32	2.416	2.86	2.509	2.79	2.644	2.795	2.319	3.118	2.778	2.799	3.202	2.66462	1299097.0	1658297.590527
sub-2_ses-35_T1w.long.sub-2_base	2.691	2.931	2.198	3.492	2.917	2.515	2.962	2.532	2.393	2.645	2.277	2.703	3.025	2.964	2.527	2.804	2.624	2.652	1.898	2.343	2.423	2.87	2.512	2.868	2.668	2.829	2.369	3.1	2.782	2.843	3.181	2.67819	1303836.0	1658297.590527
sub-2_ses-36_T1w.long.sub-2_base	2.7	2.963	2.141	3.537	2.897	2.493	3.051	2.571	2.304	2.69	2.219	2.816	3.035	2.917	2.581	2.729	2.659	2.627	1.884	2.306	2.422	2.895	2.502	2.824	2.641	2.844	2.334	3.124	2.78	2.9	3.232	2.67407	1323633.0	1658297.590527
sub-2_ses-37_T1w.long.sub-2_base	2.719	2.962	2.225	3.476	2.935	2.501	3.09	2.55	2.326	2.6	2.261	2.725	3.037	3.023	2.52	2.731	2.618	2.577	1.957	2.35	2.547	2.895	2.491	2.818	2.581	2.816	2.363	3.121	2.801	2.94	3.263	2.67763	1321000.0	1658297.590527
sub-2_ses-38_T1w.long.sub-2_base	2.754	2.963	2.17	3.562	2.954	2.514	3.048	2.52	2.306	2.766	2.247	2.845	3.054	3.016	2.476	2.775	2.715	2.664	1.863	2.321	2.51	2.927	2.487	2.851	2.712	2.864	2.316	3.092	2.794	2.841	3.273	2.69132	1326947.0	1658297.590527
sub-2_ses-39_T1w.long.sub-2_base	2.707	3.01	2.193	3.55	2.907	2.46	3.04	2.565	2.285	2.687	2.236	2.79	3.026	2.992	2.48	2.722	2.709	2.63	1.946	2.281	2.404	2.906	2.479	2.844	2.663	2.839	2.337	3.104	2.776	2.862	3.271	2.67154	1320308.0	1658297.590527
sub-2_ses-40_T1w.long.sub-2_base	2.744	2.933	2.106	3.407	2.844	2.414	2.973	2.536	2.235	2.713	2.169	2.869	2.937	2.959	2.422	2.727	2.688	2.639	1.753	2.249	2.525	2.806	2.441	2.84	2.681	2.796	2.245	2.999	2.728	2.809	3.256	2.62437	1308764.0	1658297.590527
